entry,subentry,Electron.PT,Electron.Eta,Electron.Phi
1,0,42.577156,0.13935325,-2.2045755
3,0,42.826904,-1.3688147,-1.5978423
4,0,57.58153,-0.3990617,0.89870465
18,0,149.77429,0.7720221,-2.2142498
23,0,45.287327,1.028192,-1.4788803
29,0,115.87297,0.1376284,2.3742952
42,0,98.908646,0.48303705,-2.2047126
51,0,61.038727,0.03827579,-0.9355531
60,0,35.963017,-0.6339923,-1.3836584
66,0,88.16468,1.2408594,-1.4979478
67,0,142.11885,-1.3387247,1.2489421
69,0,67.30766,0.8188179,2.3208265
73,0,70.367935,-0.19357695,-0.55139
73,1,39.199345,-0.4033661,0.92020535
81,0,178.21135,-0.9557075,2.3465922
82,0,75.41161,1.0462164,-2.0630803
83,0,180.22736,-0.07894665,-2.3257008
88,0,52.31651,-2.348036,-1.6723015
93,0,33.02096,1.7341616,1.6008877
94,0,47.470985,-0.354825,3.062903
99,0,59.794044,1.1390797,-3.1257977
100,0,46.171997,0.39562222,-2.7524173
102,0,151.42027,-0.60578173,-0.25970107
104,0,44.828915,1.5395169,0.97059554
106,0,130.49585,0.32600224,2.6671047
110,0,71.24408,0.32710013,1.9939023
113,0,41.53727,-1.8914639,0.72045326
114,0,105.71841,1.2187035,-2.5678763
116,0,89.496925,0.7317798,1.7562735
122,0,36.34742,-0.94438255,0.9482329
130,0,181.45802,-0.2888252,1.2302793
132,0,56.368984,-0.7004842,2.314913
141,0,98.30588,-0.12421458,2.930499
143,0,71.08128,-1.501848,-1.5904249
147,0,55.80723,0.14482643,2.81311
151,0,132.07822,0.2079642,-1.4817797
154,0,397.287,0.81654185,-1.9180193
154,1,20.112986,1.721801,-0.16902447
154,2,10.523587,1.7857351,-0.08531304
158,0,160.60992,-0.04330736,-2.135488
161,0,87.80109,-0.48144013,1.7727044
169,0,44.62692,0.060854357,-2.044601
175,0,98.60609,0.7790264,-0.04210301
182,0,66.42772,-1.6938882,2.5105803
184,0,37.666645,1.5884204,2.2148273
185,0,32.251957,1.058351,1.8462561
187,0,78.12497,-0.6352604,-1.7762332
188,0,21.519413,0.24743438,-2.4285758
192,0,104.93626,1.3632519,2.5549428
192,1,18.17716,-2.3861337,-1.5946503
193,0,35.197514,-1.7528049,1.3438361
195,0,19.575684,0.5041877,0.23727344
199,0,37.89115,0.70247257,-0.29131037
206,0,23.561089,-0.7138591,-2.2323997
211,0,11.930865,-1.5685627,1.9713539
220,0,97.18495,-0.41975307,-1.817588
222,0,65.70229,0.62467086,-0.08902025
224,0,115.63057,0.83546126,2.4949875
227,0,29.250782,1.1804736,-1.4825041
235,0,55.39942,0.21690753,-0.99081236
240,0,75.97039,-0.80457157,-2.6106472
241,0,20.155754,0.17986393,-3.077154
242,0,76.774994,-1.2785256,-1.4505012
251,0,46.95257,-0.7400696,-2.2879527
256,0,69.75299,-0.19096525,1.8949816
257,0,136.44861,1.7703307,-2.601936
263,0,104.54427,0.5265356,-2.9732754
265,0,24.552044,0.34181863,-2.0234165
271,0,60.991905,-0.64328504,0.47862023
273,0,27.257797,-0.6364564,-0.7689337
279,0,79.921364,0.47594535,1.1072592
287,0,72.500244,-0.27636823,-0.54495656
301,0,82.291466,0.73911184,2.4067352
302,0,86.84599,0.53119814,-0.38500333
304,0,91.667,1.0634227,-1.9168607
307,0,140.45369,-0.7468424,2.5496247
308,0,17.285887,1.8602376,-0.62047327
311,0,117.96788,-0.4636053,2.3745234
319,0,23.620567,-1.5486819,2.042814
321,0,20.956158,-0.70440847,1.1466165
322,0,59.760258,-1.2228717,1.7012455
327,0,99.056786,0.30153927,-2.8272905
329,0,129.06499,0.20406851,-2.6735504
331,0,123.51788,-0.07020978,-2.9622712
333,0,51.025066,-1.4564369,-1.4155275
348,0,40.701275,-2.4771032,-1.394296
348,1,22.648066,-0.7133096,-1.3388561
349,0,53.421837,1.876797,0.46311688
352,0,146.49994,0.093410164,-0.051261976
363,0,64.47382,-0.34439018,-0.7473379
364,0,76.52914,-0.8883134,-1.4985573
367,0,49.121128,0.7959181,-0.05699004
372,0,30.52792,0.9289618,2.9858596
372,1,12.101141,-1.8789328,0.9415505
378,0,103.437614,1.1520746,0.56373787
381,0,45.897266,-0.30281654,2.8041472
383,0,73.17301,-0.2733701,-0.24403425
384,0,28.692629,-0.020839827,-2.6977572
385,0,71.89888,0.751486,0.32144198
387,0,109.31945,0.7325789,1.417168
391,0,95.83605,1.4251491,-2.1750374
391,1,88.58678,1.1390197,1.0367644
393,0,115.77886,1.3071822,0.31797108
393,1,103.6774,-0.33238727,-2.4067495
395,0,76.22702,0.5660908,3.1267107
404,0,34.549072,1.2246408,-0.75708914
405,0,80.82149,1.3758729,-1.8226608
406,0,81.71348,-0.14600809,-2.8505063
411,0,27.17102,-0.0038545746,1.4123861
411,1,12.597293,1.0106088,-1.6110826
414,0,112.68525,-0.8858279,-2.9406745
414,1,30.832432,-0.392021,-0.04748852
415,0,34.43802,-0.21596612,0.9494543
416,0,61.119297,0.24892808,3.025905
419,0,61.17059,0.28817642,-2.6609137
424,0,18.81312,1.834127,-0.49866506
430,0,51.95291,0.026926266,-2.6689825
437,0,61.95819,-0.73391473,-2.666404
443,0,23.175007,-1.4297552,-0.29764724
445,0,157.44801,-1.2527485,-0.38845336
446,0,41.497272,-1.0360786,-1.2660992
453,0,17.200836,0.6864456,1.2035673
459,0,57.46004,0.9321195,-2.8262243
461,0,177.16064,0.80489904,0.25956675
462,0,75.62592,0.21501409,-2.1449227
465,0,118.14508,1.4911551,-0.36165795
