entry,subentry,Muon.PT,Muon.Eta,Muon.Phi
5,0,101.98835,-0.37222198,-2.4687848
6,0,112.314095,0.46183872,-0.5151465
9,0,32.12062,2.3038952,-2.8559723
9,1,22.929531,0.40162718,-2.4479516
12,0,85.23813,-0.7729637,-2.9955888
14,0,46.7954,0.49203786,2.0066423
15,0,296.23447,0.6197779,1.6162518
15,1,37.93305,1.3877718,-1.6939816
18,0,15.074378,1.3590322,1.951938
19,0,32.601433,-0.8408399,1.031795
20,0,69.18799,1.1995074,-3.1204205
23,0,13.598353,-1.4463007,-0.4716297
24,0,58.413418,-1.7421467,3.016089
30,0,53.744106,0.86050284,-0.51121885
31,0,16.347458,0.05902395,-2.867589
32,0,32.14102,-0.24292924,0.7387518
33,0,95.08646,-0.29194567,-2.2272167
34,0,126.86091,1.3161799,-2.8810732
35,0,23.967955,-0.49671558,-0.8313742
37,0,33.47971,-1.6985134,-2.2689524
38,0,83.48184,-1.8026885,-1.5479306
40,0,196.62634,0.38392675,-0.14880468
42,0,119.6566,0.60967124,2.7942803
43,0,47.65685,-0.06463703,2.1130412
44,0,65.23421,-0.71013343,2.6989768
46,0,47.86053,0.15950017,-1.2380619
56,0,27.42074,1.6543498,-0.29774672
59,0,13.789922,0.83052206,2.9225562
61,0,52.277306,-1.2196965,2.072684
62,0,81.20529,-0.18590072,-2.417712
63,0,59.02886,1.1233319,-2.7990181
64,0,62.235138,-0.08183646,2.0882232
65,0,79.3521,-0.021322051,1.6732798
65,1,78.6195,1.2781477,1.027226
66,0,17.674137,-0.77812177,-0.6138724
72,0,27.749334,-0.55191404,-2.2491357
75,0,122.79737,-0.9752986,0.35679343
77,0,60.458744,0.97043866,0.30517432
80,0,185.88617,-0.40248734,-2.132858
84,0,121.90374,-0.72717124,0.76037616
85,0,30.434038,-0.9686866,-0.89580613
86,0,87.12117,0.27042055,1.8468673
90,0,122.63068,-1.1558856,-0.59231657
91,0,34.30875,0.5488968,0.41675678
92,0,92.2074,1.0293473,1.9014506
95,0,16.58843,0.96613055,-2.748052
96,0,29.750328,-0.49483588,2.9179566
97,0,42.101543,0.46274564,-3.0703025
99,0,101.76681,0.17226994,-1.597846
101,0,80.58688,-0.61624545,-1.4844265
101,1,78.81395,1.0553558,2.959961
103,0,28.180563,0.038513735,-0.9400573
104,0,20.144611,-1.9484278,-2.506046
107,0,55.646263,-0.4920813,2.2405338
110,0,41.925964,-1.0808744,-1.2760186
111,0,24.491543,2.1512046,-2.5985532
112,0,68.58605,0.91741216,2.068152
117,0,34.26146,0.013180642,-2.0024734
118,0,81.12134,0.4456473,-1.3937634
121,0,109.34308,0.93712956,-1.9390745
123,0,78.908134,-0.3633923,2.4144144
125,0,17.260277,1.3817788,-1.2076077
128,0,19.408863,-0.8081736,-0.47620457
129,0,244.21448,1.2554644,-1.2877569
131,0,90.770256,-1.1161876,1.5631647
133,0,27.978788,-1.3442396,1.2617925
133,1,18.675241,0.22530614,2.4890914
135,0,19.245895,1.2773705,-2.7797215
137,0,34.298893,-1.0500387,1.4630911
138,0,46.794815,2.0421836,1.994755
139,0,50.459023,1.9906442,3.0967755
139,1,38.042507,1.939809,1.8840767
140,0,26.247126,-1.6756529,-1.8363547
140,1,23.09652,-0.46053335,-2.6251483
149,0,221.88475,-0.48021597,1.5581577
150,0,59.44678,1.51829,0.38375232
150,1,27.043724,-1.7455848,1.7366357
152,0,59.353905,-0.73344135,-2.240948
156,0,145.05037,0.34239307,-1.5853003
156,1,85.2857,0.05789374,0.79108363
157,0,36.424206,0.6724316,-1.9367372
159,0,216.60089,-0.2724139,0.15760487
160,0,35.22156,0.73722845,0.5169725
163,0,39.73302,1.2320145,-1.5493627
163,1,18.103941,1.2757007,1.6189464
164,0,69.824554,0.44148755,2.0620632
166,0,127.5558,-1.9392152,0.11656434
168,0,49.995197,1.0761796,-2.1387918
170,0,56.48881,0.57826376,-0.94150484
173,0,122.511055,-0.6888019,-0.9626156
174,0,13.5745,0.9748966,-2.177956
175,0,268.8085,1.6562041,-2.012811
179,0,89.875786,-0.0918224,1.786534
179,1,44.184128,-1.7407184,0.8906957
186,0,87.3619,1.5765475,-0.1747947
191,0,158.07594,0.44249725,0.85845476
194,0,100.47925,-0.8176442,0.67577875
195,0,29.506588,0.42610496,0.95817024
198,0,92.15227,-0.6693991,0.46628073
204,0,114.42955,-1.032639,1.4857553
208,0,72.72313,-0.60409105,-2.6494067
210,0,87.37205,0.7284175,-0.6032805
216,0,89.534035,-0.5918282,2.6706967
217,0,48.564533,0.15048869,-2.310074
221,0,66.972176,0.80536836,-2.47085
225,0,171.20328,0.028904907,-1.0884413
226,0,117.844536,-0.69183785,-0.7485116
229,0,36.300426,-0.8404282,-2.3789978
229,1,32.789597,-0.44321558,2.5235984
230,0,17.589006,1.0412465,0.3202344
232,0,31.159952,-1.5530664,-1.8095719
233,0,38.00502,-1.1033064,0.95209885
234,0,17.18408,0.89588,1.953687
236,0,65.17491,0.1970355,3.130232
237,0,31.974281,0.024938181,2.8169522
241,0,106.74599,0.16189753,0.86776495
266,0,97.952,0.27774686,3.0494938
269,0,58.19629,0.17612539,0.5660316
269,1,39.953827,-0.16020654,-2.3428626
271,0,73.48246,0.7065465,-2.4636612
272,0,65.724434,-1.5488988,3.0280404
279,0,27.37654,-0.5579866,0.21510206
280,0,34.737404,-0.85368097,-0.8322958
281,0,133.39583,-1.2214022,1.83195
282,0,44.852905,-1.3290377,-3.0536025
